ym,dong,phase,0-19,20-39,40-59,60+
201704,휘경2동,주간,4231.138095238095,6223.223809523809,4605.833333333333,4233.338095238095
201704,이문1동,주간,4740.138095238095,14183.104761904762,5641.052380952381,4840.247619047618
201704,이문2동,주간,1811.8285714285714,2999.338095238095,3240.9904761904763,3355.7000000000003
201705,용신동,야간,4218.763440860215,13723.89247311828,11091.096774193547,10485.096774193547
201705,제기동,야간,3400.3548387096776,9868.903225806453,7553.419354838709,9061.043010752688
201705,전농1동,야간,4503.52688172043,10306.440860215054,9766.075268817205,9053.881720430107
201705,전농2동,야간,3312.677419354839,5702.516129032258,5858.311827956989,4868.731182795699
201705,답십리1동,야간,3415.182795698925,7562.655913978495,7088.709677419355,5306.462365591397
201705,답십리2동,야간,3357.752688172043,6600.204301075269,7750.129032258064,6787.935483870967
201705,장안1동,야간,3584.0322580645166,11389.301075268819,10029.881720430107,8076.505376344086
201705,장안2동,야간,4152.580645161291,8474.021505376344,8834.516129032258,7159.440860215054
201705,청량리동,야간,1858.247311827957,5483.204301075269,5384.5161290322585,6793.580645161291
201705,회기동,야간,2656.2688172043013,9811.752688172042,4431.784946236559,4508.913978494624
201705,휘경1동,야간,1690.0,5129.741935483871,3546.118279569893,3573.1505376344085
201705,휘경2동,야간,3902.1505376344085,9886.548387096775,6718.279569892474,5704.258064516129
201705,이문1동,야간,4483.075268817204,14127.032258064515,6951.537634408603,6429.344086021505
201705,이문2동,야간,3341.430107526882,5554.032258064516,5917.247311827957,5036.215053763441
201705,용신동,주간,4595.829493087557,15673.350230414746,16253.244239631336,15687.253456221199
201705,제기동,주간,3276.4746543778806,9721.649769585254,8782.036866359447,11530.52995391705
201705,전농1동,주간,5090.3133640553,10854.267281105991,11158.285714285714,12011.04608294931
201705,전농2동,주간,4093.847926267281,5965.47465437788,4084.3824884792625,3713.6820276497697
201705,답십리1동,주간,2335.1290322580644,5215.202764976959,5703.004608294931,4831.497695852535
201705,답십리2동,주간,1884.188940092166,4446.894009216589,5709.198156682028,5120.470046082949
201705,장안1동,주간,2819.396313364055,10137.3732718894,10721.304147465436,8028.165898617512
201705,장안2동,주간,4100.672811059908,7131.63133640553,8383.133640552996,6384.004608294931
201705,청량리동,주간,2203.7603686635944,6584.290322580645,6847.294930875576,8954.359447004608
201705,회기동,주간,4391.6912442396315,11284.447004608295,4947.26728110599,4324.8387096774195
201705,휘경1동,주간,1933.8294930875577,5773.755760368664,4321.5161290322585,4635.502304147465
201705,휘경2동,주간,3762.032258064516,6060.852534562212,4455.958525345623,4063.373271889401
201705,이문1동,주간,4469.6036866359445,14154.511520737327,5736.410138248847,4935.304147465438
