code,y21,y25,dsale,dong,dpop
3130050,1063122673.0,6467092166.0,1.805516078767008,11140615,-0.15739297086508142
3130051,25836509533.0,15312622328.0,-0.5231111127576347,11140665,0.2723513781908484
3130052,136750652934.0,139904571881.0,0.022801344827750886,11140670,0.03835919957607417
3130053,63358105180.0,63220296376.0,-0.002177446653695238,11140650,-0.5336251390857814
3130054,20714603397.0,17579283501.0,-0.164117794712735,11140670,0.03835919957607417
3130055,14807321710.0,16899191926.0,0.13214403717977818,11140670,0.03835919957607417
3130056,77480707163.0,94633152062.0,0.19997889376009687,11170590,-0.17507645261563695
3130057,17862734000.0,15093315745.0,-0.16846466331879106,11170555,-0.013360693403673568
3130058,22422590241.0,18809965075.0,-0.17568215698938444,11170630,-0.11704478400317779
3130059,27115946805.0,24224964040.0,-0.1127383244510951,11170510,-0.0976782721821414
3130060,2152118765.0,4870989706.0,0.8168443125246682,11170520,-0.06805255959537806
3130061,13925943353.0,12790814334.0,-0.08502624564747338,11170650,0.07349884629798242
3130063,7568244037.0,12141541387.0,0.4726716680658276,11200615,-0.04810904171886188
3130064,16632958963.0,17752282446.0,0.0651278895600709,11200615,-0.04810904171886188
3130065,16402863356.0,18921694000.0,0.14285318003115502,11200520,0.06763968718513373
3130066,64117216464.0,80004355389.0,0.2213681601091096,11200560,0.48826318038824945
3130067,65383048108.0,82842465273.0,0.23667777391393877,11200535,-0.01597189625099026
3130068,23630238674.0,19432837285.0,-0.19556291289398953,11200540,-0.12543936773447775
3130069,41962074204.0,45454613273.0,0.07994810243391147,11200550,0.0690399333845111
3130070,59540838171.0,161180439757.0,0.995862048319962,11200660,-0.005711867518695152
3130071,372000000.0,372000000.0,0.0,11200690,0.13746706329332226
3130072,61973339586.0,79169840254.0,0.24489113553376562,11200790,-0.05094687219362065
3130073,34284943613.0,43273979930.0,0.2328452328963718,11200670,-0.06975399145523643
3130074,3871740271.0,4504576436.0,0.15138977738056972,11215847,0.07070849959015002
3130075,2182297579.0,2006003328.0,-0.08423390856089093,11215847,0.07070849959015002
3130076,7113168649.0,10275300350.0,0.36779518566066294,11215847,0.07070849959015002
3130078,12490319413.0,11030417726.0,-0.12429719295682609,11215710,0.09975799747731255
3130079,3450341587.0,3234022738.0,-0.06474644481501005,11215710,0.09975799747731255
3130081,31224300117.0,32543988431.0,0.0413960228050417,11215820,-0.03662622697501319
3130082,2226541316.0,1697341454.0,-0.2713862257029882,11215760,-0.07593191484797523
3130083,52547582397.0,76583712724.0,0.3766653360153414,11215740,-0.10423930673363656
3130084,13980080981.0,13394808264.0,-0.042766340524853466,11215770,-0.07815309906083755
3130086,237276179721.0,209720740692.0,-0.12344793844884401,11230545,-0.04517878298196523
3130087,235061690973.0,342814476732.0,0.3773414222001609,11230545,-0.04517878298196523
3130088,280804268878.0,405146654987.0,0.36659123804607924,11230545,-0.04517878298196523
3130089,56135113087.0,165303066393.0,1.0800190366638767,11230536,0.09958256141691477
3130090,523543738231.0,772908923938.0,0.38954064364100366,11230545,-0.04517878298196523
3130091,39979410119.0,71749785792.0,0.5848202945967165,11230545,-0.04517878298196523
3130092,192443407424.0,386633892693.0,0.697676108465944,11230545,-0.04517878298196523
3130093,239368551636.0,580491073586.0,0.8858700026700644,11230545,-0.04517878298196523
3130094,430818567056.0,795280929324.0,0.6130083790833665,11230545,-0.04517878298196523
3130095,37781785588.0,66899006406.0,0.5713569913545854,11230545,-0.04517878298196523
3130096,2546665163.0,3061660262.0,0.1841726140427229,11230600,-0.014394095893125824
3130097,28487216558.0,32200336310.0,0.1225214520806896,11230600,-0.014394095893125824
3130098,7679494757.0,9863694560.0,0.2503070421103313,11230710,-0.1691753419297141
3130099,10472050860.0,13954052085.0,0.2870600527748583,11230560,0.08137355677379902
3130100,14785477129.0,16636770481.0,0.11796991094917089,11230610,-0.08936486437991283
3130101,9166967912.0,8569137077.0,-0.0674395421835672,11230610,-0.08936486437991283
3130102,110472144.0,586888213.0,1.6700709651931722,11230750,-0.25373424615928475
3130103,1413581765.0,120000000.0,-2.466390278451501,11230720,0.10609540743130744
3130104,11958994082.0,16689707669.0,0.3333085840527039,11230660,0.09600009648283707
3130105,11079647490.0,6868167705.0,-0.4782125047771425,11260610,-0.07944898748876551
3130106,46439375554.0,48363091039.0,0.04058923052731416,11260520,-0.0899234379744409
3130107,2213273897.0,1916659925.0,-0.1438887719509448,11260590,-0.019474117882090487
3130108,523294728.0,678697982.0,0.26003139157354965,11260610,-0.07944898748876551
3130109,7251673079.0,9713132939.0,0.2922466692744307,11260620,-0.061777601256573625
