ym,dong,hour,pop
201710,장안2동,10,28070.645161290322
201710,청량리동,10,23332.41935483871
201710,회기동,10,23133.645161290322
201710,휘경1동,10,18728.967741935485
201710,휘경2동,10,20074.483870967742
201710,이문1동,10,31808.451612903227
201710,이문2동,10,13110.90322580645
201710,용신동,11,50003.06451612903
201710,제기동,11,35512.32258064516
201710,전농1동,11,37140.645161290326
201710,전농2동,11,16980.967741935485
201710,답십리1동,11,19157.709677419356
201710,답십리2동,11,19270.16129032258
201710,장안1동,11,33785.93548387097
201710,장안2동,11,28396.387096774193
201710,청량리동,11,23925.645161290322
201710,회기동,11,23450.90322580645
201710,휘경1동,11,18341.322580645163
201710,휘경2동,11,19279.870967741936
201710,이문1동,11,31740.354838709678
201710,이문2동,11,12307.612903225807
201710,용신동,12,50623.83870967742
201710,제기동,12,36074.8064516129
201710,전농1동,12,38354.16129032258
201710,전농2동,12,16863.935483870966
201710,답십리1동,12,18741.322580645163
201710,답십리2동,12,18806.16129032258
201710,장안1동,12,33790.32258064516
201710,장안2동,12,28719.935483870966
201710,청량리동,12,24454.8064516129
201710,회기동,12,23251.032258064515
201710,휘경1동,12,18393.032258064515
201710,휘경2동,12,18723.548387096773
201710,이문1동,12,31717.58064516129
201710,이문2동,12,11708.193548387097
201710,용신동,13,50907.903225806454
201710,제기동,13,36718.87096774193
201710,전농1동,13,39433.51612903226
201710,전농2동,13,16835.774193548386
201710,답십리1동,13,18497.451612903227
201710,답십리2동,13,18349.516129032258
201710,장안1동,13,33521.74193548387
201710,장안2동,13,28940.58064516129
201710,청량리동,13,25206.8064516129
201710,회기동,13,23407.548387096773
201710,휘경1동,13,18144.1935483871
201710,휘경2동,13,18118.83870967742
201710,이문1동,13,31495.16129032258
201710,이문2동,13,11355.677419354839
201710,용신동,14,50937.096774193546
201710,제기동,14,36963.096774193546
201710,전농1동,14,39598.0
201710,전농2동,14,16931.09677419355
201710,답십리1동,14,18276.16129032258
201710,답십리2동,14,18178.354838709678
201710,장안1동,14,33305.54838709677
201710,장안2동,14,29016.09677419355
201710,청량리동,14,25272.322580645163
201710,회기동,14,23186.129032258064
201710,휘경1동,14,18283.451612903227
201710,휘경2동,14,17997.677419354837
201710,이문1동,14,31695.967741935485
201710,이문2동,14,11176.161290322581
201710,용신동,15,50254.1935483871
201710,제기동,15,36503.45161290323
201710,전농1동,15,39973.51612903226
201710,전농2동,15,16710.064516129034
201710,답십리1동,15,18212.09677419355
201710,답십리2동,15,18229.25806451613
201710,장안1동,15,33320.903225806454
201710,장안2동,15,29308.032258064515
201710,청량리동,15,25303.09677419355
201710,회기동,15,22219.870967741936
201710,휘경1동,15,18297.354838709678
201710,휘경2동,15,17783.290322580644
201710,이문1동,15,31471.645161290322
201710,이문2동,15,11138.90322580645
201710,용신동,16,49327.22580645161
201710,제기동,16,35619.67741935484
201710,전농1동,16,39721.645161290326
201710,전농2동,16,16267.806451612903
201710,답십리1동,16,18556.129032258064
201710,답십리2동,16,18516.225806451614
201710,장안1동,16,33688.903225806454
201710,장안2동,16,29911.548387096773
201710,청량리동,16,25626.516129032258
201710,회기동,16,20871.387096774193
201710,휘경1동,16,18910.41935483871
201710,휘경2동,16,17412.290322580644
201710,이문1동,16,31333.90322580645
201710,이문2동,16,11640.677419354839
201710,용신동,17,47444.16129032258
201710,제기동,17,33851.77419354839
201710,전농1동,17,39570.25806451613
201710,전농2동,17,15689.709677419354
201710,답십리1동,17,18771.935483870966
201710,답십리2동,17,18996.387096774193
201710,장안1동,17,34066.74193548387
201710,장안2동,17,30865.25806451613
201710,청량리동,17,25342.58064516129
201710,회기동,17,19866.8064516129
201710,휘경1동,17,19663.870967741936
201710,휘경2동,17,17148.387096774193
201710,이문1동,17,31172.870967741936
201710,이문2동,17,12102.741935483871
201710,용신동,18,44067.645161290326
201710,제기동,18,32130.58064516129
201710,전농1동,18,40544.290322580644
201710,전농2동,18,15420.161290322581
201710,답십리1동,18,19397.387096774193
201710,답십리2동,18,19439.387096774193
201710,장안1동,18,34098.0
201710,장안2동,18,31808.90322580645
201710,청량리동,18,24924.709677419356
201710,회기동,18,19290.90322580645
201710,휘경1동,18,20099.677419354837
201710,휘경2동,18,17401.774193548386
201710,이문1동,18,31594.774193548386
201710,이문2동,18,12722.838709677419
201710,용신동,19,42418.032258064515
201710,제기동,19,31420.322580645163
201710,전농1동,19,39832.41935483871
201710,전농2동,19,15793.741935483871
201710,답십리1동,19,19851.612903225807
201710,답십리2동,19,19853.645161290322
201710,장안1동,19,33533.3870967742
201710,장안2동,19,32887.83870967742
201710,청량리동,19,24232.387096774193
201710,회기동,19,19230.935483870966
201710,휘경1동,19,20106.709677419356
201710,휘경2동,19,18095.774193548386
201710,이문1동,19,32393.74193548387
201710,이문2동,19,13291.870967741936
201710,용신동,20,41624.32258064516
201710,제기동,20,31169.387096774193
201710,전농1동,20,38794.06451612903
201710,전농2동,20,16201.41935483871
201710,답십리1동,20,20332.74193548387
201710,답십리2동,20,20425.612903225807
201710,장안1동,20,33911.8064516129
201710,장안2동,20,33037.354838709674
201710,청량리동,20,23477.322580645163
201710,회기동,20,19047.387096774193
201710,휘경1동,20,20229.90322580645
201710,휘경2동,20,18688.774193548386
201710,이문1동,20,32629.032258064515
201710,이문2동,20,13933.935483870968
201710,용신동,21,41244.3870967742
201710,제기동,21,31141.967741935485
201710,전농1동,21,37602.354838709674
201710,전농2동,21,16382.451612903225
201710,답십리1동,21,21187.612903225807
201710,답십리2동,21,20981.41935483871
201710,장안1동,21,34326.645161290326
201710,장안2동,21,32813.0
201710,청량리동,21,23112.25806451613
201710,회기동,21,19045.09677419355
201710,휘경1동,21,20136.774193548386
201710,휘경2동,21,19601.774193548386
201710,이문1동,21,32743.032258064515
201710,이문2동,21,14766.032258064517
201710,용신동,22,41009.54838709677
201710,제기동,22,31290.74193548387
201710,전농1동,22,37187.290322580644
201710,전농2동,22,16664.90322580645
201710,답십리1동,22,22222.225806451614
201710,답십리2동,22,21440.290322580644
201710,장안1동,22,34496.12903225807
201710,장안2동,22,32399.290322580644
201710,청량리동,22,22909.516129032258
201710,회기동,22,19077.16129032258
201710,휘경1동,22,19718.90322580645
201710,휘경2동,22,20641.290322580644
201710,이문1동,22,32646.8064516129
201710,이문2동,22,15617.806451612903
201710,용신동,23,37075.83870967742
201710,제기동,23,31690.935483870966
201710,전농1동,23,33634.6129032258
201710,전농2동,23,17293.967741935485
201710,답십리1동,23,23381.129032258064
201710,답십리2동,23,25140.322580645163
201710,장안1동,23,35406.16129032258
201710,장안2동,23,30011.774193548386
201710,청량리동,23,21019.548387096773
201710,회기동,23,21668.032258064515
201710,휘경1동,23,16669.645161290322
201710,휘경2동,23,23346.774193548386
201710,이문1동,23,32740.225806451614
201710,이문2동,23,19372.516129032258
201711,용신동,0,38794.166666666664
201711,제기동,0,33830.4
201711,전농1동,0,34109.4
201711,전농2동,0,17607.133333333335
201711,답십리1동,0,24001.833333333332
201711,답십리2동,0,25885.833333333332
201711,장안1동,0,35992.1
201711,장안2동,0,30177.266666666666
201711,청량리동,0,21582.633333333335
201711,회기동,0,23638.3
201711,휘경1동,0,17969.166666666668
201711,휘경2동,0,24725.9
201711,이문1동,0,35571.76666666667
201711,이문2동,0,20168.266666666666
201711,용신동,1,38984.566666666666
201711,제기동,1,34124.3
201711,전농1동,1,33935.566666666666
201711,전농2동,1,17717.933333333334
201711,답십리1동,1,24123.466666666667
201711,답십리2동,1,25998.8
201711,장안1동,1,35675.3
201711,장안2동,1,30112.366666666665
201711,청량리동,1,21552.0
201711,회기동,1,23489.4
201711,휘경1동,1,17920.033333333333
201711,휘경2동,1,24906.3
201711,이문1동,1,35711.03333333333
201711,이문2동,1,20206.833333333332
201711,용신동,2,39131.46666666667
201711,제기동,2,34159.53333333333
201711,전농1동,2,33860.5
201711,전농2동,2,17799.5
201711,답십리1동,2,24237.733333333334
201711,답십리2동,2,26107.033333333333
201711,장안1동,2,35423.2
201711,장안2동,2,30207.7
201711,청량리동,2,21510.333333333332
201711,회기동,2,23295.8
